Car Make,Car Model,Kilometers Driven,Fuel Type,Transmission Type,Price,Location
2021,Tata NEXON XE PETROL,"27,603 km",Petrol,Manual,₹6.78 Lakh,"West,,Mumbai"
2021,Tata NEXON XM SUNROOF PETROL,"36,460 km",Petrol,Manual,₹7.73 Lakh,"West,,Mumbai"
2019,Tata Harrier XZ 2.0L,"57,037 km",Diesel,Manual,₹12.84 Lakh,"Goregaon,,Mumbai"
2023,Tata TIGOR XZ PLUS CNG,"3,817 km",CNG,Manual,₹7.91 Lakh,"Goregaon,,Mumbai"
2021,Tata Tiago XE PETROL,"10,232 km",Petrol,Manual,₹5.44 Lakh,"Goregaon,,Mumbai"
2021,Tata NEXON XZA PLUS (O) PETROL,"26,213 km",Petrol,Automatic,₹10.36 Lakh,"Goregaon,,Mumbai"
2020,Tata NEXON XZA PLUS SUNROOF DIESEL,"75,525 km",Diesel,Automatic,₹9.86 Lakh,"Goregaon,,Mumbai"
2018,Tata NEXON XZ PLUS PETROL,"48,213 km",CNG,Manual,₹6.54 Lakh,"Goregaon,,Mumbai"
2017,Tata Tiago XZ PETROL,"37,602 km",Petrol,Manual,₹3.90 Lakh,"West,,Mumbai"
2021,Tata TIGOR XE PETROL,"52,153 km",Petrol,Manual,₹5.17 Lakh,"West,,Mumbai"
2021,Tata Harrier XZA PLUS 2.0L DARK EDITION,"31,539 km",Diesel,Automatic,₹18.69 Lakh,"Goregaon,,Mumbai"
2021,Tata TIGOR XZA PLUS PETROL,"39,046 km",Petrol,Automatic,₹6.67 Lakh,"Goregaon,,Mumbai"
2021,Tata NEXON XZ PLUS PETROL SUNROOF,"26,645 km",Petrol,Manual,₹9.14 Lakh,"Goregaon,,Mumbai"
2018,Tata NEXON XZA PLUS DIESEL DUAL TONE,"1,04,792 km",Diesel,Automatic,₹6.68 Lakh,"West,,Mumbai"
2021,Tata ALTROZ XT PETROL,"43,417 km",Petrol,Manual,₹6.50 Lakh,"Goregaon,,Mumbai"
2018,Tata Tiago XZ PETROL,"76,127 km",Petrol,Manual,₹4.11 Lakh,"West,,Mumbai"
2022,Tata NEXON XZ PLUS PETROL,"18,598 km",Petrol,Manual,₹8.98 Lakh,"West,,Mumbai"
2022,Tata Safari XZA PLUS ADVENTURE,"42,408 km",Diesel,Automatic,₹19.85 Lakh,"Goregaon,,Mumbai"
2022,Tata ALTROZ XZA PLUS,"2,973 km",Petrol,Automatic,₹8.68 Lakh,"Goregaon,,Mumbai"
2019,Tata NEXON XZA PLUS DIESEL,"51,506 km",Diesel,Automatic,₹8.36 Lakh,"Goregaon,,Mumbai"
